Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size
Intel Core i5-7600 Processor,Launched,Q1'17,4,4.10 GHz,3.50 GHz,6 MB 
Intel Core i5-7500 Processor,Launched,Q1'17,4,3.80 GHz,3.40 GHz,6 MB 
Intel Core i5-7500T Processor,Launched,Q1'17,4,3.30 GHz,2.70 GHz,6 MB 
Intel Core i5-7442EQ Processor,Launched,Q1'17,4,2.90 GHz,2.10 GHz,6 MB
Intel Core i5-7440HQ Processor,Launched,Q1'17,4,3.80 GHz,2.80 GHz,6 MB
Intel Core i5-7440EQ Processor,Launched,Q1'17,4,3.60 GHz,2.90 GHz,6 MB
Intel Core i5-7400T Processor,Launched,Q1'17,4,3.00 GHz,2.40 GHz,6 MB 
Intel Core i5-7400 Processor,Launched,Q1'17,4,3.50 GHz,3.00 GHz,6 MB 
Intel Core i5-7360U Processor,Launched,Q1'17,2,3.60 GHz,2.30 GHz,4 MB
Intel Core i5-7300U Processor,Launched,Q1'17,2,3.50 GHz,2.60 GHz,3 MB 
Intel Core i5-7300HQ Processor,Launched,Q1'17,4,3.50 GHz,2.50 GHz,6 MB
Intel Core i5-7287U Processor,Launched,Q1'17,2,3.70 GHz,3.30 GHz,4 MB
Intel Core i5-7267U Processor,Launched,Q1'17,2,3.50 GHz,3.10 GHz,4 MB
Intel Core i5-7260U Processor,Launched,Q1'17,2,3.40 GHz,2.20 GHz,4 MB
Intel Core i5-7200U Processor,Launched,Q3'16,2,3.10 GHz,2.50 GHz,3 MB 
Intel Core i5-7Y54 Processor,Launched,Q3'16,2,3.20 GHz,1.20 GHz,4 MB 
Intel Core i5-7Y57 Processor,Launched,Q1'17,2,3.30 GHz,1.20 GHz,4 MB 
Intel Core i3-7350K Processor,Launched,Q1'17,2,4.20 GHz,,4 MB 
Intel Core i3-7320 Processor,Launched,Q1'17,2,4.10 GHz,,4 MB 
Intel Core i3-7300 Processor,Launched,Q1'17,2,4.00 GHz,,4 MB 
Intel Core i3-7300T Processor,Launched,Q1'17,2,3.50 GHz,,4 MB 
Intel Core i3-7130U Processor,Launched,Q2'17,2,2.70 GHz,,3 MB 
Intel Core i3-7102E Processor,Launched,Q1'17,2,2.10 GHz,,3 MB
Intel Core i3-7101E Processor,Launched,Q1'17,2,3.90 GHz,,3 MB 
Intel Core i3-7101TE Processor,Launched,Q1'17,2,3.40 GHz,,3 MB 
Intel Core i3-7100T Processor,Launched,Q1'17,2,3.40 GHz,,3 MB 
Intel Core i3-7100E Processor,Launched,Q1'17,2,2.90 GHz,,3 MB
Intel Core i3-7100 Processor,Launched,Q1'17,2,3.90 GHz,,3 MB 
Intel Core i3-7167U Processor,Launched,Q1'17,2,2.80 GHz,,3 MB
Intel Core i3-7100U Processor,Launched,Q3'16,2,2.40 GHz,,3 MB 
Intel Core i3-7100H Processor,Launched,Q1'17,2,3.00 GHz,,3 MB
Intel Core i3-7020U Processor,Launched,Q2'18,2,2.30 GHz,,3 MB 
Intel Core m3-7Y32 Processor,Launched,Q2'17,2,3.00 GHz,1.10 GHz,4 MB 
Intel Core m3-7Y30 Processor,Launched,Q3'16,2,2.60 GHz,1.00 GHz,4 MB 
Intel Core i7-6970HQ Processor,Launched,Q1'16,4,3.70 GHz,2.80 GHz,8 MB 
Intel Core i7-6920HQ Processor,Launched,Q3'15,4,3.80 GHz,2.90 GHz,8 MB 
Intel Core i7-6870HQ Processor,Launched,Q1'16,4,3.60 GHz,2.70 GHz,8 MB 
Intel Core i7-6822EQ Processor,Launched,Q4'15,4,2.80 GHz,2.00 GHz,8 MB 
Intel Core i7-6820HQ Processor,Launched,Q3'15,4,3.60 GHz,2.70 GHz,8 MB 
Intel Core i7-6820HK Processor,Launched,Q3'15,4,3.60 GHz,2.70 GHz,8 MB 
Intel Core i7-6820EQ Processor,Launched,Q4'15,4,3.50 GHz,2.80 GHz,8 MB 
Intel Core i7-6785R Processor,Discontinued,Q2'16,4,3.90 GHz,3.30 GHz,8 MB
Intel Core i7-6700K Processor,Discontinued,Q3'15,4,4.20 GHz,4.00 GHz,8 MB 
Intel Core i7-6700T Processor,Launched,Q3'15,4,3.60 GHz,2.80 GHz,8 MB 
Intel Core i7-6700TE Processor,Launched,Q4'15,4,3.40 GHz,2.40 GHz,8 MB 
Intel Core i7-6700 Processor,Launched,Q3'15,4,4.00 GHz,3.40 GHz,8 MB 
Intel Core i7-6770HQ Processor,Launched,Q1'16,4,3.50 GHz,2.60 GHz,6 MB 
Intel Core i7-6700HQ Processor,Launched,Q3'15,4,3.50 GHz,2.60 GHz,6 MB 
Intel Core i7-6660U Processor,Launched,Q1'16,2,3.40 GHz,2.40 GHz,4 MB 
Intel Core i7-6650U Processor,Launched,Q3'15,2,3.40 GHz,2.20 GHz,4 MB 
Intel Core i7-6600U Processor,Launched,Q3'15,2,3.40 GHz,2.60 GHz,4 MB 
Intel Core i7-6567U Processor,Launched,Q3'15,2,3.60 GHz,3.30 GHz,4 MB 
Intel Core i7-6560U Processor,Launched,Q3'15,2,3.20 GHz,2.20 GHz,4 MB 
Intel Core i7-6500U Processor,Launched,Q3'15,2,3.10 GHz,2.50 GHz,4 MB 
